Codi	URL	Nom	Descripció	Telèfon	Web	E-mail	"Xarxa social 1"	"Xarxa social 2"	"Xarxa social 3"	"Xarxa social 4"	Adreça	Districte	Barri	Longitud	Latitud	"Icona 1 (Principal)"	"Icona 2"	"Icona 3"	"Icona 4"	"Icona 5"	"Icona 6"	"Icona 7"	"Icona 8"	"Icona 9"	"Icona 10"	"Icona 11"	"Icona 12"	"Icona 13"	"Icona 14"	"Icona 15"	"Icona 16"	"Icona 17"	"Icona 18"	"Icona 19"	"Icona 20"	"Icona 21"	"Icona 22"	"Icona 23"	"Icona 24"	"Icona 25"	"Icona 26"	"Icona 27"	"Icona 28"	"Icona 29"	"Icona 30"	"Icona 31"	"Icona 32"	Etiquetes	Itineraris
5391defd0a92f43d0a8b457a	http://www.bcnsostenible.cat/web/punt/5391defd0a92f43d0a8b457a	"Alternativa 3 ONG (Fills del Cafè)"	"En l'actualitat és l'única elaboradora de cacau ecològic de Comerç Just al país.<br />
<br />
<strong>OBJECTIUS D'ALTERNATIVA3 ONG:</strong><br />
<br />
· Informar, sensibilitzar i conscienciar al conjunt de la població catalana sobre el Comerç Just i Solidari.<br />
 <br />
· Donar suport a iniciatives de comunitats de diferents països de l'anomenat tercer món que, constituint-se legalment, puguin organitzar-se i exportar els seus productes per mitjà de la xarxa del Comerç Just i Solidari.<br />
 <br />
· Recolzar a les Organitzacions de productors ja constituïdes en el desenvolupament de nous projectes de comercialització i en la millora dels que ja estiguin en funcionament.<br />
 <br />
· Recolzar a les organitzacions de Comerç Just i Solidari, en el seu treball de comercialització i en la difusió de la seva activitat.<br />
<br />
Ctra. Castellar, 526<br />
08227 - Terrassa"		http://www.alternativa3.com		https://www.facebook.com/alternativa3Scoop	https://twitter.com/alternativa3	https://www.facebook.com/alternativa3Scoop	https://www.facebook.com/alternativa3Scoop				0,00000000	0,00000000	a03	b02	b05	b01	b04																												EiESos,EmpresaBS	
5391defd0a92f43d0a8b4586	http://www.bcnsostenible.cat/web/punt/5391defd0a92f43d0a8b4586	"Associació Bioarquitectura Mediterrània (BAM)"	"BaM [Bioarquitectura Mediterrània] és una associació sense ànim de lucre que promou el foment del coneixement i les bones pràctiques en l'arquitectura i urbanisme favorables a la vida i vitalitat de les persones, de les societats i del planeta al segle XXI.<br />
<br />
Es tracta d'un projecte obert situat al <a href=""http://bcnsostenible.cat/web/punt/connecthort"" target=""_blank"">ConnectHort</a>, un espai per potenciar les persones, empreses i col·lectius que treballen per a la construcció d'un territori i arquitectura més equitativa i saludable a la Mediterrània.<br />
<br />
Entitat signant del Compromís ciutadà per la Sostenibilitat. <br />
 "		http://bamconf.org/		https://www.facebook.com/BaMBioarqMed/		https://www.facebook.com/BaMBioarqMed/	https://www.facebook.com/BaMBioarqMed/	"Carrer Àlaba, 24"	"Sant Martí"	"El Parc i la Llacuna del Poblenou"	2,18850910	41,40305800	d15	d02	c05	f10	f01	a11	e10	b04																									EiESos,EntitatBS,ConstruccióSostenible,Caminades19	"Caminades per la Sostenibilitat 2019: Més enllà del 22@ ( https://bcnsostenible.cat/web/itinerari/5cd54afc24dd5d357e8b4567 ), "
5391defe0a92f43d0a8b4598	http://www.bcnsostenible.cat/web/punt/5391defe0a92f43d0a8b4598	"Associació Estel Tàpia"	"L’Associació Estel Tàpia és una entitat sense afany de lucre que des de 1984 es dedica a la inclusió social i laboral de persones adultes en situació de vulnerabilitat social i econòmica. Entitat signant del Compromís ciutadà per la Sostenibilitat.<br />
<br />
Fem un procés d’inclusió a través d’una formació a mida. La formació és una introducció a la cultura del treball, i a través d’aquest procés formatiu busquem l’equilibri de l’eix social i l’eix productiu.<br />
<br />
Atenem a persones en risc d'exclusió que volen sortir-se'n mitjançant dos serveis: un CET (Centre Especial de Treball) per a persones amb discapacitat reconeguda i el Projecte Endavant - Aula Formativa, on es fa formació en ""Cultura de Treball"" per a que les persones ateses la recuperin."		http://www.esteltapia.org		https://www.facebook.com/esteltapia	https://twitter.com/EstelTapia	https://www.facebook.com/esteltapia	https://www.facebook.com/esteltapia	"carrer de l'Om, 7-9"	"Ciutat Vella"	"El Raval"	2,17195180	41,37607410	f04	b02	b05	b04	a04																												EiESos,EntitatBS	"L’economia social, solidària i cooperativa al Raval ( https://bcnsostenible.cat/web/itinerari/55b0db3d0a92f43e1d8b4568 ), "
5391defe0a92f43d0a8b45a3	http://www.bcnsostenible.cat/web/punt/5391defe0a92f43d0a8b45a3	"Associació Social Andròmines"	"Des de 1993 lluitem contra l’exclusió des de la dignitat i igualtat d’oportunitats de les persones i la protecció del medi ambient des de la defensa de l’entorn i la seva sostenibilitat. Volem ser una organització de referència en la lluita i denúncia de l’exclusió social, defensant la dignitat i igualtat d’oportunitats per totes les persones i la defensa i protecció del medi ambient, que fonamenta la seva acció en la creació de diferents iniciatives, recursos (empresa d’inserció, educació ambiental, formació, i qualsevol altre eina adient) <br />
<br />
<strong>Serveis que oferim:</strong><br />
<u>Serveis ambientals</u>. Oferim un ampli ventall de serveis ambiental de prevenció, educació ambiental i gestió de residus de qualitat per a empreses, administracions públiques i particulars.<br />
<u>Serveis de formació, inserció i intermediació</u>. Oferim serveis de formació, intermediació i cursos a mida per a empreses. Disposem de serveis d’orientació formació professionalitzadora, alfabetització i ACTIC per a persones.<br />
<u>Atenció social</u>. Posem l’atenció en el suport a les persones si cal desenvolupament d’accions que transformen vides i milloren el benestar social. Acollim i fem propostes de participació i atenció a persones i d’interès per a la comunitat en funció de les necessitats socials detectades.<br />
<u>Serveis informàtics</u>. Oferim serveis informàtics i solucions tecnològiques adaptades a les necessitats de les empreses, administracions públiques i entitats socials.<br />
<u>Malbaratament alimentari</u>. Treballem per a la prevenció i reducció del malbaratament alimentari, principalment a comerços, restaurants, càterings i grans productors.<br />
<u>Educació ambiental</u> Duem a terme projectes d’educació ambiental què promouen la participació de tots els actors i busquen transformar el nostre entorn en un espai sostenible.<br />
<u>Mesures penals alternatives</u>. Els Treballs en Benefici de la Comunitat (TBC) són penes imposades a la persona autora d’una falta o delicte lleu què s’executen en l’entorn comunitari<br />
<u>Voluntariat</u>. Comparteix amb nosaltres el foment de l’autonomia i la igualtat d’oportunitats per a persones en risc d’exclusió i col·labora de manera activa en la seva inserció i el medi ambient.<br />
<u>Entrega social</u>. Proporcionem roba, mobles i estris per a la llar de primera necessitat a famílies en situació de vulnerabilitat<br />
<br />
Andròmines gestiona <a href=""https://www.bcnsostenible.cat/web/punt/la-nau-vila-besos"" target=""_blank"">La Nau Vila Besòs</a>."		http://www.andromines.net		https://www.facebook.com/AndrominesInsercioIMediambient/	https://www.facebook.com/AndrominesInsercioIMediambient/	https://www.facebook.com/AndrominesInsercioIMediambient/	https://www.facebook.com/AndrominesInsercioIMediambient/	"Carrer Cuba, 24"	"Sant Andreu"	"Sant Andreu"	2,18874940	41,42930740	f06	b05	a11	f04	c04	b01	a10	d20	b04																								EiESos,EntitatBS	
5391defe0a92f43d0a8b45b2	http://www.bcnsostenible.cat/web/punt/5391defe0a92f43d0a8b45b2	"Bodevici, gelats i iogurts ecològics"	"La nostra misió és popularitzar els productes ecològics a través dels gelats, iogur gelat, orxata i granitzat. Elaborame els nostres productes amb llet fresca de vaca o cabra i també vegans (100% vegetals).<br />
<br />
T'alimentaran, t'agradaran i no et faran tenir sed. Respectem la teva salut. “Cuída't i gaudeix”."		http://www.bodevici.com		https://www.facebook.com/bodevici.plaers.ecologics	https://twitter.com/Bodevici	https://www.facebook.com/bodevici.plaers.ecologics	https://www.facebook.com/bodevici.plaers.ecologics	"Carrer Torrijos, 21"	Gràcia	"Vila de Gràcia"	2,15889560	41,40328780	a03	a05	a09	b04																													comsos,EmpresaBS,Caminades19	"Comerç Verd de la Vila de Gràcia ( https://bcnsostenible.cat/web/itinerari/5694fb5c24dd5dc54a8b4569 ), Caminades per la sostenibilitat: Sostenibles amb Gràcia ( https://bcnsostenible.cat/web/itinerari/5af9310524dd5d43438b4567 ), Caminades per la Sostenibilitat 2019: Sostenibles amb Gràcia ( https://bcnsostenible.cat/web/itinerari/5cde7ab824dd5db0588b456a ), "
5391df000a92f43d0a8b45e8	http://www.bcnsostenible.cat/web/punt/5391df000a92f43d0a8b45e8	"Drap-Art Festival Internacional d'Art Sostenible de Catalunya"	"Plataforma d'artistes que treballen amb materials de rebuig i criden la atenció sobre la problemtàtica dels residus i la contaminació del medi ambient.<br />
<br />
Aquesta organització està adherida al <a href=""http://http//turismesostenible.barcelona/"">compromís</a> per a la Sostenibilitat Turística Barcelona Biosphere.<br />
 "		http://www.drapart.org		www.facebook.es/drapart		www.facebook.es/drapart	www.facebook.es/drapart	"carrer d'En Groc, 1, baixos"	"Ciutat Vella"	"Barri Gòtic"	2,17980390	41,38152490	c02	b04	a15																														EiESos,EntitatBS	
5391df000a92f43d0a8b4606	http://www.bcnsostenible.cat/web/punt/5391df000a92f43d0a8b4606	"Ethnic Associació de turisme Sostenible"	"Treballem per un turisme responsable perquè creiem en el concepte de canvi cap a una societat més compromesa amb la realitat social, econòmicament més equitativa i mediambientalment més respectuosa. On el turisme contribueixi positivament al desenvolupament sostenible de totes les destinacions.<br />
<br />
La missió de aethnic és defensar la sostenibilitat turística a través de la sensibilització de tots els actors implicats, i desenvolupar iniciatives turístiques sostenibles adaptades a cada context.<br />
<br />
Textos fundacionals de aethnic:<br />
<br />
     Turisme i desenvolupament<br />
     Turisme responsable<br />
     Declaració de Ciutat del Cap<br />
<br />
 <br />
Aquesta organització està adherida al <a href=""http://turismesostenible.barcelona/"" target=""_blank"">Compromís </a>per a la Sostenibilitat Turística Barcelona Biosphere.<br />
<br />
 "		http://aethnic.org		https://www.facebook.com/aethnic/	https://twitter.com/aethnic	https://www.facebook.com/aethnic/	https://www.facebook.com/aethnic/	"Carrer Perú, 52"	"Sant Martí"	"Provençals del Poblenou"	2,19446670	41,40696340	a15	f06	b04																														EiESos,EntitatBS	
5391df010a92f43d0a8b462c	http://www.bcnsostenible.cat/web/punt/5391df010a92f43d0a8b462c	"Gremi d'Hotels de Barcelona (GHB)"	"El Gremi d'Hotels de Barcelona és una associació empresarial formada pels establiments hotelers: hotels, hotels-apartaments, hostals/pensions, així com pels apartaments turístics i habitatges d’ús turístic, de la ciutat de Barcelona i el seu entorn, amb àmbit provincial. El Gremi d’Hotels de Barcelona és conscient del protagonisme que actualment té en el mapa socioeconòmic de la ciutat i, per tant, participa de forma pro activa en tot allò que succeeix al seu entorn, amb especial incidència en aquells temes que tenen a veure amb el desenvolupament del sector hoteler i turístic; la qualitat de Barcelona com a destinació; la professionalització del sector; la millora de la coexistència entre l’activitat turística i la ciutadania i, en la millora de la qualitat de vida dels seus ciutadans en aspectes com la seguretat, la sostenibilitat i la responsabilitat social.<br />
 <br />
Aquesta organització està adherida al <a href=""http://http://turismesostenible.barcelona/"" target=""_blank"">compromis</a> per a la Sostenibilitat Turística Barcelona Biosphere.<br />
 "		www.barcelonahotels.org			https://twitter.com/gremihotelsbcn			"Via Laietana 47 "	"Ciutat Vella"	"Barri Gòtic"	2,17475940	41,38682790	b04	a15																															comsos,EmpresaBS	
5391df010a92f43d0a8b4639	http://www.bcnsostenible.cat/web/punt/5391df010a92f43d0a8b4639	"HOTEL ALIMARA (TURISVALL SL)"	"D'acord amb el nostre compromís pioner en el sector vers la sostenibilitat i la qualitat, acreditat per les certificacions ISO 14001 i EMAS (Eco-Management and Audit Scheme), l'Hotel Alimara Barcelona el convida a col•laborar en la preservació del medi ambient.<br />
<br />
<strong>L’Hotel Invisible</strong> és una campanya solidària que vol sensibilitzar i recaptar fons per ajudar a les persones que viuen situacions de pobresa, violència, manca d’oportunitats, desemparament… factors que agreugen la situació dels col·lectius més vulnerables i els condemnen a l’exclusió social. Cada habitació és un reflex de la part més invisible de l’exclusió social.<br />
<br />
La campanya neix de la mà de la Fundació IReS i el Gremi d’Hotels de Barcelona i vol implicar a les empreses turístiques que operen a la ciutat i als propis turistes, propiciant que l’activitat econòmica turística de la nostra ciutat continuï amb la seva tasca de retorn cap a la societat.<br />
<br />
Les donacions que es realitzin en aquest projecte es destinaran a resoldre les problemàtiques d’aquests col·lectius, que han servit per donar nom a les habitacions d’aquests “hotel” simbòlic.<br />
Reservar una nit d’insomni a l’Hotel Invisible és fer una donació a la Fundació IReS per evitar que persones en risc d’exclusió hagin de dormir en aquests llocs.<br />
L’exclusió social a Catalunya és un problema de tots:<br />
<br />
Entitat signant del Compromís ciutadà per la Sostenibilitat"		http://www.alimarahotel.com		https://www.facebook.com/HotelAlimaraBarcelona	https://twitter.com/HotelAlimaraBcn	https://www.facebook.com/HotelAlimaraBarcelona	https://www.facebook.com/HotelAlimaraBarcelona	"carrer de Berruguete 126"	"Horta - Guinardó"	"La Vall d'Hebron"	2,14730460	41,43367730	a15	b02	b04																														EiESos,EmpresaBS	
5391df010a92f43d0a8b463a	http://www.bcnsostenible.cat/web/punt/5391df010a92f43d0a8b463a	"Andante Hotel"	"Es tracta d'un edifici situat al Barri del Raval, al districte de Ciutat Vella. En ple nucli antic, al cor de Barcelona, ​​ia només uns minuts de la Rambla, el Port Vell, l'accés a les terminals de creuers del Port, la zona d'oci del Maremàgnum i la zona de teatres i espectacles del Paral.lel . Molt bona connexió amb l'aeroport i el recinte firal de Montjuïc 1 i 2.<br />
<br />
Andante Hotel és un establiment de 3 *, pràctic, modern i econòmic, amb 134 habitacions distribuïdes en 10 plantes i amb diferents tipologies: dobles, triples, Familiars, Individuals, amb Terrassa, amb Vistes Panoràmiques i per a persones amb mobilitat reduïda. Totes elles són exteriors.<br />
<br />
Des del terrat, planta 11, els clients podran observar des del solàrium amb Plunge pool, espectaculars vistes de la ciutat, des del barri del Raval i tot el casc antic, fins al port de Barcelona.<br />
<br />
Missió: Oferir als nostres clients serveis bàsics d'alta qualitat amb instal·lacions d'un 4 *, a un preu competitiu i tenint cura de la sostenibilitat.<br />
<br />
Visió: Arribar a ser un referent de Hotel LOW COST SOSTENIBLE a Barcelona.<br />
<br />
Valors: Compromís, respecte, treball en equip, orientació al client.<br />
<br />
Entitat signant del Compromís ciutadà per la Sostenibilitat"		http://www.andantehotel.com/sostenibilidad/						"Avinguda Drassanes 23-25"	"Ciutat Vella"	"El Raval"	2,17268500	41,37647990	a15	b04																															EiESos,EmpresaBS	
